note;serial_number;retired;is_broken;owner;inventory_pool;building;room;properties_installation_status;model
TAA-C02-03.net.zhdk.ch;FOC2729Y0XP;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C03-04.net.zhdk.ch;FVH2737L8BJ;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C03-04.net.zhdk.ch;FOC2730Y1D4;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C03-05.net.zhdk.ch;FOC2730Y1D3;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C03-05.net.zhdk.ch;FOC2713Y8WU;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C03-30.net.zhdk.ch;FOC2547YCGR;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C03-30.net.zhdk.ch;FOC2734Y04R;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C03-31.net.zhdk.ch;FOC2713Y90M;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C03-31.net.zhdk.ch;FOC2713Y908;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C04-06.net.zhdk.ch;FOC2713Y7HS;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C04-06.net.zhdk.ch;FOC2713Y8V6;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C04-07.net.zhdk.ch;FOC2713Y92H;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C04-07.net.zhdk.ch;FOC2713Y4HU;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C04-08.net.zhdk.ch;FOC2713Y0FN;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C04-08.net.zhdk.ch;FOC2638YSZW;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C04-08.net.zhdk.ch;FOC2638YRR4;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C05-09.net.zhdk.ch;FOC2713Y04H;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C05-09.net.zhdk.ch;FOC2712Z206;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C05-10.net.zhdk.ch;FOC2713Y7J4;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C05-10.net.zhdk.ch;FOC2713Y1UU;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C05-10.net.zhdk.ch;FOC2638YR92;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C06-11.net.zhdk.ch;FOC2638YSCK;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C06-11.net.zhdk.ch;FOC2713Y7N9;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C06-12.net.zhdk.ch;FOC2713Y048;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
TAA-C06-12.net.zhdk.ch;FOC2713Y0JF;FALSE;FALSE;ITZ_Network;ITZ_Network;Toni-Areal (TONI);general room;inStorage;Catalyst 9300-48UXM
